actor_id,emotion,word,gender,age,filename,dataset
OAF,Fear,third,female,Old,OAF_third_fear.wav,TESS
OAF,Fear,yes,female,Old,OAF_yes_fear.wav,TESS
OAF,Fear,thin,female,Old,OAF_thin_fear.wav,TESS
OAF,Fear,lose,female,Old,OAF_lose_fear.wav,TESS
OAF,Fear,pole,female,Old,OAF_pole_fear.wav,TESS
OAF,Fear,kick,female,Old,OAF_kick_fear.wav,TESS
OAF,Fear,nag,female,Old,OAF_nag_fear.wav,TESS
OAF,Fear,met,female,Old,OAF_met_fear.wav,TESS
OAF,Fear,dip,female,Old,OAF_dip_fear.wav,TESS
OAF,Fear,hash,female,Old,OAF_hash_fear.wav,TESS
OAF,Fear,mood,female,Old,OAF_mood_fear.wav,TESS
OAF,Fear,bath,female,Old,OAF_bath_fear.wav,TESS
OAF,Fear,far,female,Old,OAF_far_fear.wav,TESS
OAF,Fear,such,female,Old,OAF_such_fear.wav,TESS
OAF,Fear,soup,female,Old,OAF_soup_fear.wav,TESS
OAF,Fear,name,female,Old,OAF_name_fear.wav,TESS
OAF,Fear,lid,female,Old,OAF_lid_fear.wav,TESS
OAF,Fear,ditch,female,Old,OAF_ditch_fear.wav,TESS
OAF,Fear,numb,female,Old,OAF_numb_fear.wav,TESS
OAF,Fear,rat,female,Old,OAF_rat_fear.wav,TESS
OAF,Fear,wash,female,Old,OAF_wash_fear.wav,TESS
OAF,Fear,pain,female,Old,OAF_pain_fear.wav,TESS
OAF,Fear,moon,female,Old,OAF_moon_fear.wav,TESS
OAF,Fear,bought,female,Old,OAF_bought_fear.wav,TESS
OAF,Fear,which,female,Old,OAF_which_fear.wav,TESS
OAF,Fear,goal,female,Old,OAF_goal_fear.wav,TESS
OAF,Fear,match,female,Old,OAF_match_fear.wav,TESS
OAF,Fear,beg,female,Old,OAF_beg_fear.wav,TESS
OAF,Fear,time,female,Old,OAF_time_fear.wav,TESS
OAF,Fear,pass,female,Old,OAF_pass_fear.wav,TESS
OAF,Fear,hire,female,Old,OAF_hire_fear.wav,TESS
OAF,Fear,bone,female,Old,OAF_bone_fear.wav,TESS
