actor_id,sentence,emotion,intensity,filename
1022,ITS,Anger,Unspecified,1022_ITS_ANG_XX.wav
1037,ITS,Anger,Unspecified,1037_ITS_ANG_XX.wav
1060,ITS,Neutral,Unspecified,1060_ITS_NEU_XX.wav
1075,ITS,Neutral,Unspecified,1075_ITS_NEU_XX.wav
1073,IOM,Disgust,Unspecified,1073_IOM_DIS_XX.wav
1066,IOM,Disgust,Unspecified,1066_IOM_DIS_XX.wav
1078,IWL,Sad,Unspecified,1078_IWL_SAD_XX.wav
1029,TAI,Fear,Unspecified,1029_TAI_FEA_XX.wav
1039,IEO,Sad,Medium,1039_IEO_SAD_MD.wav
1008,TAI,Happy,Unspecified,1008_TAI_HAP_XX.wav
1018,TSI,Fear,Unspecified,1018_TSI_FEA_XX.wav
1028,IEO,Sad,High,1028_IEO_SAD_HI.wav
1039,TSI,Happy,Unspecified,1039_TSI_HAP_XX.wav
1064,ITS,Happy,Unspecified,1064_ITS_HAP_XX.wav
1071,ITS,Happy,Unspecified,1071_ITS_HAP_XX.wav
1045,ITS,Fear,Unspecified,1045_ITS_FEA_XX.wav
1050,ITS,Fear,Unspecified,1050_ITS_FEA_XX.wav
1018,IWL,Anger,Unspecified,1018_IWL_ANG_XX.wav
1059,IEO,Anger,Medium,1059_IEO_ANG_MD.wav
1054,MTI,Disgust,Unspecified,1054_MTI_DIS_XX.wav
1041,MTI,Disgust,Unspecified,1041_MTI_DIS_XX.wav
1048,IEO,Anger,High,1048_IEO_ANG_HI.wav
1042,ITS,Sad,Unspecified,1042_ITS_SAD_XX.wav
1019,TAI,Neutral,Unspecified,1019_TAI_NEU_XX.wav
1057,ITS,Sad,Unspecified,1057_ITS_SAD_XX.wav
1028,TSI,Neutral,Unspecified,1028_TSI_NEU_XX.wav
1087,IOM,Anger,Unspecified,1087_IOM_ANG_XX.wav
1039,IEO,Happy,Low,1039_IEO_HAP_LO.wav
1018,IEO,Fear,Low,1018_IEO_FEA_LO.wav
1079,DFA,Neutral,Unspecified,1079_DFA_NEU_XX.wav
1063,IWW,Disgust,Unspecified,1063_IWW_DIS_XX.wav
1076,IWW,Disgust,Unspecified,1076_IWW_DIS_XX.wav
1068,WSI,Happy,Unspecified,1068_WSI_HAP_XX.wav
1049,WSI,Fear,Unspecified,1049_WSI_FEA_XX.wav
1059,ITH,Disgust,Unspecified,1059_ITH_DIS_XX.wav
1068,DFA,Happy,Unspecified,1068_DFA_HAP_XX.wav
